中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,27 ms,5 Mbps,673 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,41 ms,544 Mbps,69632 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,32 ms,600 Mbps,76800 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,42 ms,548 Mbps,70246 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,40 ms,547 Mbps,70041 kB/s
34.82.76.253,443,34.127.34.227,US,Seattle,隧道,50 ms,459 Mbps,58777 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,407 Mbps,52121 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,37 ms,50 Mbps,6498 kB/s
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,52 ms,467 Mbps,59801 kB/s
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,47 ms,477 Mbps,61132 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,65 ms,249 Mbps,31948 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,59 ms,434 Mbps,55603 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,119 ms,164 Mbps,21094 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,120 ms,147 Mbps,18841 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,104 ms,50 Mbps,6460 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,114 ms,192 Mbps,24576 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,117 ms,48 Mbps,6230 kB/s
193.123.61.156,443,2606:f240:f00:b2ed:0:3653:d391:fb1a,US,Frankfurt,隧道,121 ms,150 Mbps,19251 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,136 ms,169 Mbps,21708 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,158 ms,45 Mbps,5848 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,172 ms,45 Mbps,5816 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,122 ms,46 Mbps,5890 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,189 ms,41 Mbps,5296 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,203 ms,34 Mbps,4439 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,218 ms,36 Mbps,4718 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,1243 ms,0 Mbps,23 kB/s
